mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__n_estimators,param_rf__min_samples_split,param_rf__min_samples_leaf,param_rf__max_features,param_rf__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.36649837493896487,0.057396059932011,0.07005138397216797,0.03643845534492057,200,10,1,log2,,"{'rf__n_estimators': 200, 'rf__min_samples_split': 10, 'rf__min_samples_leaf': 1, 'rf__max_features': 'log2', 'rf__max_depth': None}",0.6657812495236005,0.6456349605617399,0.6630518231239004,0.5989718916644562,0.6440056819944048,0.6434891213736205,0.023942821383037764,13,0.8363585215464284,0.8492322207040145,0.8284208471598674,0.8445597134032218,0.8370919352035636,0.8391326476034191,0.007184112627612831
2.56251802444458,0.053535979577782195,0.13954477310180663,0.013146314321823156,800,5,1,0.5,40,"{'rf__n_estimators': 800, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 1, 'rf__max_features': 0.5, 'rf__max_depth': 40}",0.6910400297578213,0.638258313743784,0.6791362914315159,0.6072815193563043,0.6280954773557635,0.6487623263290377,0.031521713904047816,9,0.8448672461371821,0.8528326692769631,0.8429254075239309,0.8554492810202355,0.8418140075187281,0.847577722295408,0.005509755462840374
0.4372561454772949,0.11188901866442923,0.15693702697753906,0.04083316662981766,200,2,4,log2,30,"{'rf__n_estimators': 200, 'rf__min_samples_split': 2, 'rf__min_samples_leaf': 4, 'rf__max_features': 'log2', 'rf__max_depth': 30}",0.5622898887435553,0.5995054591576952,0.5297745906012848,0.5498501437583275,0.5949705665246168,0.567278129757096,0.0266105411745487,29,0.5985293160793499,0.5973441572607961,0.5909137186008504,0.6083098904211304,0.6110053631155463,0.6012204890955346,0.007409470284291578
1.0646724224090576,0.24623113595393215,0.10974564552307128,0.021792897201220733,600,2,4,log2,,"{'rf__n_estimators': 600, 'rf__min_samples_split': 2, 'rf__min_samples_leaf': 4, 'rf__max_features': 'log2', 'rf__max_depth': None}",0.5596287589829899,0.5829532808302921,0.523260188852403,0.5733124784667405,0.6121852727171223,0.5702679959699096,0.02915534499615987,28,0.5964282570338305,0.5998336988513929,0.5992992004531659,0.5925983549773609,0.6016859208307798,0.597969086429306,0.0031711118657001677
0.410860538482666,0.1012539358992681,0.04668111801147461,0.012986158040694655,200,10,1,0.5,10,"{'rf__n_estimators': 200, 'rf__min_samples_split': 10, 'rf__min_samples_leaf': 1, 'rf__max_features': 0.5, 'rf__max_depth': 10}",0.6788076138556806,0.6840591375719934,0.6738823285495196,0.6225720392339801,0.651005204359504,0.6620652647141355,0.02274079809342251,1,0.7571453996394576,0.7314209658097086,0.7463572584997302,0.7547743165195026,0.732335257225266,0.744406639538733,0.010843575446935854
1.2622982025146485,0.13553829349161906,0.08680691719055175,0.01321663631285486,600,5,1,sqrt,20,"{'rf__n_estimators': 600, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 1, 'rf__max_features': 'sqrt', 'rf__max_depth': 20}",0.6814675240334044,0.6818657178312159,0.6512858976587058,0.6408487076995314,0.64943024979685,0.6609796194039415,0.01725452479360575,3,0.8023953872003613,0.7941186039123828,0.7985258714065364,0.797499741649539,0.7920079211905566,0.7969095050718752,0.0036019599081816497
1.4370633125305177,0.059569708678261585,0.17938642501831054,0.05069577567186325,1000,2,4,sqrt,20,"{'rf__n_estimators': 1000, 'rf__min_samples_split': 2, 'rf__min_samples_leaf': 4, 'rf__max_features': 'sqrt', 'rf__max_depth': 20}",0.6126684167680445,0.6242965293721282,0.5772328275113497,0.6068833255584928,0.6329791391406294,0.610812047670129,0.019076981842854526,27,0.6432086361774849,0.6345010774171077,0.6399624147921906,0.6502170143872501,0.6427791548900698,0.6421336595328205,0.0050967338212279945
1.5549962043762207,0.20600140070545123,0.2071377754211426,0.058634542896034175,1000,10,4,sqrt,20,"{'rf__n_estimators': 1000, 'rf__min_samples_split': 10, 'rf__min_samples_leaf': 4, 'rf__max_features': 'sqrt', 'rf__max_depth': 20}",0.6205115540229466,0.6242965293721282,0.5824160545885281,0.612999533509563,0.6369007077680804,0.6154248758522493,0.018227761542030214,24,0.6469206538754483,0.6343904651456522,0.6396359363577561,0.6507593589846636,0.6460354410773795,0.64354837108818,0.005809140066201354
0.5919576644897461,0.03107260936487948,0.051916074752807614,0.018192004686150398,200,2,1,0.5,,"{'rf__n_estimators': 200, 'rf__min_samples_split': 2, 'rf__min_samples_leaf': 1, 'rf__max_features': 0.5, 'rf__max_depth': None}",0.6879819257822861,0.6356667002051948,0.653411020760349,0.5999048725383483,0.6294533251453064,0.641283568886297,0.029022446547285967,16,0.847050211847378,0.8591593850110804,0.8495742001661096,0.8617696815208613,0.8533110149673303,0.854172898702552,0.005571349831641968
0.8543971061706543,0.030694631615461845,0.08001561164855957,0.014449037388997225,400,5,1,log2,30,"{'rf__n_estimators': 400, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 1, 'rf__max_features': 'log2', 'rf__max_depth': 30}",0.6945634045874609,0.6622554355282775,0.6591290349136077,0.6421798823712349,0.6314240343400885,0.6579103583481338,0.021507133239062056,4,0.8207396095271995,0.8342842544005696,0.8185897509501556,0.8223909473998462,0.8137120747848199,0.8219433274125182,0.006825654169891861
0.9669921875,0.11500221585986788,0.08942661285400391,0.01771962265478976,600,10,1,log2,10,"{'rf__n_estimators': 600, 'rf__min_samples_split': 10, 'rf__min_samples_leaf': 1, 'rf__max_features': 'log2', 'rf__max_depth': 10}",0.6201145798079767,0.6326061570639763,0.5989670133330894,0.614329488598425,0.6284645588700523,0.6188963595347039,0.011823943484483089,23,0.7008244250266963,0.6853277988923464,0.6896118236480616,0.699509325494789,0.6926829602934316,0.693591266671065,0.005870057700186529
0.26746768951416017,0.025436977761796306,0.04438447952270508,0.011766445224177854,200,10,4,log2,10,"{'rf__n_estimators': 200, 'rf__min_samples_split': 10, 'rf__min_samples_leaf': 4, 'rf__max_features': 'log2', 'rf__max_depth': 10}",0.5662114573710063,0.5882060241294466,0.5546351770376943,0.5437339358072572,0.5822437674848491,0.5670060723660507,0.016594505786737962,30,0.6024508847068009,0.5868727346491984,0.5995276970831276,0.6031857482403463,0.6062023409892646,0.5996478811337476,0.006731316195214713
1.2315966129302978,0.11175444828778183,0.11241655349731446,0.015480187530484508,600,5,1,sqrt,40,"{'rf__n_estimators': 600, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 1, 'rf__max_features': 'sqrt', 'rf__max_depth': 40}",0.6831956729200778,0.6543427820513993,0.6630518231239004,0.6112030879837552,0.639220648715038,0.6502028029588341,0.024134422281631738,8,0.8409213734293249,0.855015634987159,0.8375718118596257,0.8510833495998438,0.8442880837609495,0.8457760507273806,0.006428511668742956
0.35827274322509767,0.07391868005315959,0.06450366973876953,0.01605835957505443,200,10,1,sqrt,10,"{'rf__n_estimators': 200, 'rf__min_samples_split': 10, 'rf__min_samples_leaf': 1, 'rf__max_features': 'sqrt', 'rf__max_depth': 10}",0.6636536872562739,0.6387235845978884,0.6482241349346456,0.6042917120199035,0.641092729404321,0.6391971696426064,0.01950290110535574,20,0.7275453261531042,0.6989796113643584,0.7239716694798162,0.7036477171387782,0.7206329025156945,0.7149554453303503,0.011446596916982707
1.7546540737152099,0.09759285729391913,0.21519527435302735,0.03333595565875685,1000,10,2,sqrt,10,"{'rf__n_estimators': 1000, 'rf__min_samples_split': 10, 'rf__min_samples_leaf': 2, 'rf__max_features': 'sqrt', 'rf__max_depth': 10}",0.6427134498644739,0.6465667218527903,0.6316719566072425,0.6042917120199035,0.6407236478900323,0.6331934976468885,0.015256500766127657,21,0.7037738304378944,0.6843546788225344,0.6826141621981606,0.6888302656608222,0.70103969437254,0.6921225262983903,0.008681661096705377
2.522833776473999,0.2522328359656924,0.20347948074340821,0.04099255600926127,800,10,2,0.5,,"{'rf__n_estimators': 800, 'rf__min_samples_split': 10, 'rf__min_samples_leaf': 2, 'rf__max_features': 0.5, 'rf__max_depth': None}",0.695825063037188,0.6652452428646781,0.6590607382744732,0.6068150289193581,0.6368020792625814,0.6527496304716558,0.02971792493030949,5,0.80001645788122,0.8014509727373283,0.7910974344842368,0.8096332188936476,0.7945344394949707,0.7993465046982806,0.006354482557203223
0.48099474906921386,0.14465333265141542,0.13026680946350097,0.03661158706147594,200,10,4,0.5,40,"{'rf__n_estimators': 200, 'rf__min_samples_split': 10, 'rf__min_samples_leaf': 4, 'rf__max_features': 0.5, 'rf__max_depth': 40}",0.674418335208442,0.6665056817315637,0.6419725532881478,0.5879986950463594,0.6513544361116798,0.6444499402772385,0.03041418426652605,12,0.7348805655387277,0.7091381428620638,0.7267061655815947,0.7277675075495745,0.7251157841460328,0.7247216331355987,0.008478445042230939
2.435378074645996,0.18363200449574876,0.1929755687713623,0.06098571832522294,800,5,2,0.5,30,"{'rf__n_estimators': 800, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 2, 'rf__max_features': 0.5, 'rf__max_depth': 30}",0.674418335208442,0.6756799936581692,0.6568660989508538,0.6098731328948933,0.6245696633604406,0.6482814448145597,0.02662690672640574,10,0.8042591465631735,0.8043795187409337,0.7966533089909787,0.8148626149659552,0.8013630362734427,0.8043035251068968,0.005977865912500017
2.38841290473938,0.19336747230073897,0.16238813400268554,0.07272862310421908,1000,2,1,sqrt,20,"{'rf__n_estimators': 1000, 'rf__min_samples_split': 2, 'rf__min_samples_leaf': 1, 'rf__max_features': 'sqrt', 'rf__max_depth': 20}",0.6923687652638414,0.6697028181510515,0.6639140681929746,0.6269588787155354,0.6519939706347582,0.6609877001916322,0.021485511481863125,2,0.8102501980686868,0.8062287339296444,0.8064733056994026,0.8117865221435051,0.7979079580829378,0.8065293435848353,0.00481465427355821
0.922247314453125,0.01772434157104224,0.17169508934020997,0.11056809854573675,600,10,4,sqrt,30,"{'rf__n_estimators': 600, 'rf__min_samples_split': 10, 'rf__min_samples_leaf': 4, 'rf__max_features': 'sqrt', 'rf__max_depth': 30}",0.6196480893710307,0.6251599940240441,0.5907244626975343,0.6012336080443684,0.6399588117436155,0.6153449931761186,0.01746993219428499,25,0.6499787578509834,0.6308996719905998,0.638217496641444,0.6558835011654476,0.6461523685823265,0.6442263592461602,0.008790854138342307
