Cset,Phase,ConclusionRaw,Difficulty,ConclusionClass,Cset,Type,Assigns (Baseline),Assigns (Baseline+Repeat),Assigns (total),Q1 Quality (Voted),Q2 Quality (Voted),Cset Quality (voted),Q1 Quality (prescreen),Q2 Quality (prescreen),Cset Quality (prescreen),Subsession  Q2-K3,Intervening bullets (min),Intervening bullets (max),Cset Category (Detailed),Caliber Q1,Caliber Q2-K3
QQ6867,Primary (Baseline),ID,VEasy,Match,QQ6867,QQ,3,3,3,A,A,A:A,P,P,PP,20190320C_3,0.0,8.0,"Same Model, Same SubSess, JHP",9ML,9ML
QQ7370,Primary (Baseline),Insuff,Norm,Inconclusive,QQ7370,QQ,3,3,3,B,B,B:B,G,G,GG,20190415F_1,,,"Diff Make, FMJ-JHP",038,038
QQ7434,Primary (Baseline),Insuff,Norm,Inconclusive,QQ7434,QQ,2,2,2,C,C,C:C,G,G,GG,20190416C_1,0.0,8.0,"Same Model, Same SubSess, JHP",038,038
QQ7440,Primary (Baseline),Insuff,Norm,Inconclusive,QQ7440,QQ,2,2,2,C,C,C:C,G,G,GG,20190507B_1,50.0,68.0,"Same Model, Diff Sess, FMJ-JHP",040,040
QQ7645,Supplemental,Insuff,Norm,Inconclusive,QQ7645,QQ,1,1,4,A,B,A:B,P,G,PG,20190621W_1,30.0,48.0,"Same Model, Diff Sess, FMJ-JHP",9ML,9ML
QQ7842,Primary (Baseline),Insuff,Norm,Inconclusive,QQ7842,QQ,2,2,2,A,C,A:C,P,G,PG,20190618J_0,,,"Same Model, Diff Sess, FMJ",9ML,9ML
QQ7880,Supplemental,Insuff,Norm,Inconclusive,QQ7880,QQ,2,2,3,C,C,C:C,G,G,GG,20190412P_3,,,"Diff Model, FMJ",038,038
QQ8271,Supplemental,Insuff,Norm,Inconclusive,QQ8271,QQ,2,3,4,A,B,A:B,P,G,PG,20190618P_3,,,"Diff Model, FMJ",9ML,9ML
QQ8354,Primary (Baseline),Insuff,Norm,Inconclusive,QQ8354,QQ,2,2,2,A,A,A:A,P,P,PP,20190508B_1,,,"Same Model, Diff Sess, JHP",9ML,9ML
QQ5039,Primary (Baseline),Insuff,Diff,Inconclusive,QQ5039,QQ,3,3,3,A,B,A:B,P,G,PG,20190415G_2,,,"Diff Make, FMJ",038,038
QQ5041,Primary (Baseline),LeanExcl,Diff,NonMatch,QQ5041,QQ,2,2,2,A,A,A:A,P,G,PG,20190412K_3,,,"Diff Model, FMJ-JHP",038,038
QQ5054,Primary (Baseline),LeanID,VDiff,Match,QQ5054,QQ,3,3,3,B,B,B:B,G,G,GG,20190621J_4,,,"Same Model, Diff Sess, FMJ",9ML,9ML
QQ5176,Primary (Baseline),ID,Easy,Match,QQ5176,QQ,2,2,2,B,B,B:B,G,G,GG,20190412T_3,0.0,8.0,"Same Model, Same SubSess, FMJ",038,038
QQ5180,Primary (Baseline),ID,Diff,Match,QQ5180,QQ,3,3,3,A,B,A:B,P,G,PG,20190415R_1,0.0,8.0,"Same Model, Same SubSess, FMJ",038,038
QQ5256,Primary (Baseline),LeanID,Norm,Match,QQ5256,QQ,3,3,3,A,B,A:B,P,G,PG,20190501E_2,20.0,38.0,"Same Model, Diff Sess, FMJ-JHP",038,038
QQ5309,Primary (Baseline),Excl,VEasy,NonMatch,QQ5309,QQ,3,3,3,B,B,B:B,G,G,GG,20190507A_4,,,"Diff Make, JHP-FMJ",040,040
QQ5314,Primary (Baseline),Excl,VEasy,NonMatch,QQ5314,QQ,3,3,3,A,B,A:B,P,G,PG,20190507D_2,,,"Diff Caliber, JHP-FMJ",9ML,040
QQ5382,Primary (Baseline),LeanExcl,Diff,NonMatch,QQ5382,QQ,2,2,3,B,B,B:B,G,G,GG,20190507F_4,90.0,108.0,"Same Model, Diff Sess, FMJ-JHP",040,040
QQ5390,Primary (Baseline),ID,VEasy,Match,QQ5390,QQ,3,3,3,A,A,A:A,P,P,PP,20190404B_3,0.0,8.0,"Same Model, Same SubSess, FMJ",9ML,9ML
QQ5463,Primary (2nd assignments),Insuff,Diff,Inconclusive,QQ5463,QQ,3,4,4,A,B,A:B,P,G,PG,20190621W_2,,,"Same Model, Diff Sess, JHP",9ML,9ML
QQ5463,Primary (Baseline),LeanExcl,Diff,NonMatch,QQ5463,QQ,3,4,4,A,B,A:B,P,G,PG,20190621W_2,,,"Same Model, Diff Sess, JHP",9ML,9ML
QQ5477,Primary (Baseline),LeanExcl,Diff,NonMatch,QQ5477,QQ,3,3,3,A,A,A:A,P,P,PP,20190508I_4,,,"Same Model, Diff Sess, JHP",9ML,9ML
QQ5485,Primary (2nd assignments),LeanExcl,Diff,NonMatch,QQ5485,QQ,3,4,4,A,A,A:A,P,P,PP,20190412K_4,,,"Diff Model, FMJ-JHP",038,038
QQ5485,Primary (Baseline),LeanExcl,Norm,NonMatch,QQ5485,QQ,3,4,4,A,A,A:A,P,P,PP,20190412K_4,,,"Diff Model, FMJ-JHP",038,038
QQ5555,Primary (Baseline),Excl,VEasy,NonMatch,QQ5555,QQ,3,3,3,A,A,A:A,P,P,PP,20190621V_2,,,"Diff Model, FMJ",9ML,9ML
QQ5601,Primary (2nd assignments),LeanID,Norm,Match,QQ5601,QQ,3,4,4,B,B,B:B,G,G,GG,20190412R_4,,,"Diff Model, JHP",038,038
QQ5601,Primary (Baseline),Insuff,Diff,Inconclusive,QQ5601,QQ,3,4,4,B,B,B:B,G,G,GG,20190412R_4,,,"Diff Model, JHP",038,038
QQ5620,Primary (2nd assignments),Insuff,Diff,Inconclusive,QQ5620,QQ,3,4,4,A,A,A:A,P,P,PP,20190415E_4,,,"Diff Make, JHP",038,038
QQ5620,Primary (Baseline),Insuff,Diff,Inconclusive,QQ5620,QQ,3,4,4,A,A,A:A,P,P,PP,20190415E_4,,,"Diff Make, JHP",038,038
QQ5680,Primary (Baseline),Insuff,Diff,Inconclusive,QQ5680,QQ,3,3,3,B,B,B:B,G,G,GG,20190507D_0,,,"Same Model, Diff Sess, JHP-FMJ",040,040
QQ5778,Primary (Baseline),Insuff,Diff,Inconclusive,QQ5778,QQ,2,2,2,A,A,A:A,P,P,PP,20190507I_1,,,"Same Model, Diff Sess, FMJ-JHP",040,040
QQ5959,Primary (Baseline),LeanExcl,Norm,NonMatch,QQ5959,QQ,1,1,1,A,B,A:B,P,P,PP,20190618O_0,,,"Diff Make, FMJ-JHP",9ML,9ML
QQ6056,Primary (Baseline),ID,Norm,Match,QQ6056,QQ,1,1,1,A,A,A:A,P,P,PP,20190415K_3,40.0,58.0,"Same Model, Diff Sess, JHP",038,038
QQ6138,Primary (Baseline),Insuff,Diff,Inconclusive,QQ6138,QQ,1,1,1,A,B,A:B,P,G,PG,20190618D_2,,,"Same Model, Diff Sess, FMJ",9ML,9ML
QQ6170,Primary (2nd assignments),LeanExcl,Norm,NonMatch,QQ6170,QQ,3,4,4,A,B,A:B,P,G,PG,20190507F_4,,,"Same Model, Diff Sess, FMJ-JHP",040,040
QQ6170,Primary (Baseline),Insuff,Diff,Inconclusive,QQ6170,QQ,3,4,4,A,B,A:B,P,G,PG,20190507F_4,,,"Same Model, Diff Sess, FMJ-JHP",040,040
QQ6278,Primary (Baseline),Insuff,Norm,Inconclusive,QQ6278,QQ,3,3,3,B,B,B:B,G,G,GG,20190415D_0,,,"Same Model, Diff Sess, FMJ",038,038
QQ6289,Primary (Baseline),Insuff,VDiff,Inconclusive,QQ6289,QQ,2,2,2,A,A,A:A,P,P,PP,20190621J_3,,,"Same Model, Diff Sess, FMJ",9ML,9ML
QQ6317,Primary (Baseline),Excl,VEasy,NonMatch,QQ6317,QQ,2,2,2,A,A,A:A,P,P,PP,20190412F_0,,,"Diff Caliber, JHP",9ML,038
QQ6605,Primary (Baseline),Insuff,VDiff,Inconclusive,QQ6605,QQ,3,3,3,B,C,B:C,G,G,GG,20190412Q_2,,,"Diff Model, JHP-FMJ",038,038
QQ6627,Primary (Baseline),Insuff,Diff,Inconclusive,QQ6627,QQ,2,2,2,A,B,A:B,P,G,PG,20190404A_1,,,"Diff Make, FMJ",9ML,9ML
QQ6658,Primary (Baseline),Insuff,Diff,Inconclusive,QQ6658,QQ,3,3,3,C,B,B:C,G,G,GG,20190507J_4,90.0,108.0,"Same Model, Diff Sess, FMJ",040,040
QQ6676,Primary (Baseline),LeanExcl,Diff,NonMatch,QQ6676,QQ,3,3,3,A,A,A:A,P,P,PP,20190618O_4,40.0,58.0,"Same Model, Diff Sess, FMJ-JHP",9ML,9ML
QQ6770,Primary (Baseline),Insuff,VDiff,Inconclusive,QQ6770,QQ,2,2,2,C,C,C:C,G,G,GG,20190618S_3,,,"Same Model, Diff Sess, FMJ",9ML,9ML
QQ6813,Primary (Baseline),Insuff,Diff,Inconclusive,QQ6813,QQ,1,1,1,A,B,A:B,P,G,PG,20190621O_0,,,"Same Model, Diff Sess, JHP",9ML,9ML
QQ6854,Primary (Baseline),Excl,Norm,NonMatch,QQ6854,QQ,3,3,3,A,A,A:A,P,P,PP,20190618L_3,,,"Same Model, Diff Sess, JHP",9ML,9ML
QQ7267,Primary (Baseline),Excl,VEasy,NonMatch,QQ7267,QQ,2,2,2,A,B,A:B,P,G,PG,20190508C_3,,,"Diff Model, JHP",9ML,9ML
QQ7350,Primary (Baseline),LeanID,Diff,Match,QQ7350,QQ,1,1,1,B,A,A:B,G,P,PG,20190507F_1,30.0,48.0,"Same Model, Diff Sess, FMJ-JHP",040,040
QQ7388,Primary (Baseline),LeanID,Diff,Match,QQ7388,QQ,1,1,1,A,B,A:B,P,G,PG,20190415R_1,0.0,8.0,"Same Model, Same SubSess, FMJ",038,038
QQ7418,Primary (Baseline),Excl,VEasy,NonMatch,QQ7418,QQ,1,1,1,B,B,B:B,G,G,GG,20190412Q_4,,,"Diff Caliber, FMJ",9ML,038
QQ7470,Primary (Baseline),ID,Diff,Match,QQ7470,QQ,3,4,4,B,A,A:B,G,P,PG,20190501K_2,30.0,48.0,"Same Model, Diff Sess, FMJ",040,040
QQ7794,Primary (Baseline),ID,Diff,Match,QQ7794,QQ,3,4,4,B,B,B:B,G,G,GG,20190507P_0,0.0,8.0,"Same Model, Same SubSess, FMJ",9ML,9ML
QQ7874,Primary (Baseline),ID,Diff,Match,QQ7874,QQ,1,1,1,A,A,A:A,P,P,PP,20190621V_1,0.0,8.0,"Same Model, Same SubSess, FMJ",9ML,9ML
QQ7915,Primary (Baseline),Insuff,VDiff,Inconclusive,QQ7915,QQ,1,1,1,B,B,B:B,G,G,GG,20190412D_4,,,"Same Model, Diff Sess, FMJ",038,038
QQ7930,Primary (Baseline),Insuff,Norm,Inconclusive,QQ7930,QQ,3,4,4,A,B,A:B,P,G,PG,20190621Q_1,,,"Same Model, Diff Sess, JHP",9ML,9ML
QQ8002,Primary (Baseline),Insuff,Diff,Inconclusive,QQ8002,QQ,3,4,4,B,B,B:B,G,G,GG,20190507L_0,20.0,38.0,"Same Model, Diff Sess, JHP-FMJ",040,040
QQ8234,Primary (Baseline),NoValue,na,Inconclusive,QQ8234,QQ,2,2,2,B,B,B:B,G,G,GG,20190415M_2,,,"Diff Make, FMJ",038,038
QQ8457,Primary (Baseline),Insuff,Diff,Inconclusive,QQ8457,QQ,3,4,4,A,A,A:A,P,P,PP,20190416A_3,,,"Same Model, Diff Sess, FMJ",038,038
QQ8602,Primary (Baseline),Insuff,Norm,Inconclusive,QQ8602,QQ,1,1,1,A,A,A:A,P,P,PP,20190618L_3,40.0,58.0,"Same Model, Diff Sess, FMJ-JHP",9ML,9ML
QQ5077,Primary (Baseline),LeanExcl,Diff,NonMatch,QQ5077,QQ,3,3,3,A,A,A:A,P,P,PP,20190507D_4,,,"Same Model, Diff Sess, FMJ",040,040
QQ5276,Primary (2nd assignments),Excl,Norm,NonMatch,QQ5276,QQ,3,4,4,B,B,B:B,G,G,GG,20190415E_0,,,"Same Model, Diff Sess, JHP",038,038
QQ5276,Primary (Baseline),Insuff,Diff,Inconclusive,QQ5276,QQ,3,4,4,B,B,B:B,G,G,GG,20190415E_0,,,"Same Model, Diff Sess, JHP",038,038
QQ5293,Primary (Baseline),LeanExcl,Diff,NonMatch,QQ5293,QQ,3,3,4,A,A,A:A,P,P,PP,20190508G_2,110.0,128.0,"Same Model, Diff Sess, JHP-FMJ",9ML,9ML
QQ5410,Primary (Baseline),ID,Diff,Match,QQ5410,QQ,3,3,3,B,B,B:B,G,G,GG,20190621D_0,0.0,8.0,"Same Model, Same SubSess, FMJ",9ML,9ML
QQ5435,Primary (2nd assignments),ID,Norm,Match,QQ5435,QQ,3,4,4,A,A,A:A,P,P,PP,20190501K_0,0.0,8.0,"Same Model, Same SubSess, FMJ",040,040
QQ5435,Primary (Baseline),ID,Norm,Match,QQ5435,QQ,3,4,4,A,A,A:A,P,P,PP,20190501K_0,0.0,8.0,"Same Model, Same SubSess, FMJ",040,040
QQ5463,Primary (Baseline),LeanExcl,Norm,NonMatch,QQ5463,QQ,3,4,4,A,B,A:B,P,G,PG,20190621W_2,,,"Same Model, Diff Sess, JHP",9ML,9ML
QQ5485,Primary (Baseline),LeanExcl,Norm,NonMatch,QQ5485,QQ,3,4,4,A,A,A:A,P,P,PP,20190412K_4,,,"Diff Model, FMJ-JHP",038,038
QQ5601,Primary (Baseline),Insuff,Norm,Inconclusive,QQ5601,QQ,3,4,4,B,B,B:B,G,G,GG,20190412R_4,,,"Diff Model, JHP",038,038
QQ5620,Primary (Baseline),LeanExcl,Norm,NonMatch,QQ5620,QQ,3,4,4,A,A,A:A,P,P,PP,20190415E_4,,,"Diff Make, JHP",038,038
QQ5624,Primary (2nd assignments),Excl,VEasy,NonMatch,QQ5624,QQ,3,4,4,B,B,B:B,G,G,GG,20190320C_2,,,"Diff Make, FMJ-JHP",9ML,9ML
QQ5624,Primary (Baseline),Excl,VEasy,NonMatch,QQ5624,QQ,3,4,4,B,B,B:B,G,G,GG,20190320C_2,,,"Diff Make, FMJ-JHP",9ML,9ML
QQ5675,Primary (Baseline),Insuff,Diff,Inconclusive,QQ5675,QQ,3,3,3,B,B,B:B,G,G,GG,20190412A_1,90.0,108.0,"Same Model, Diff Sess, JHP-FMJ",038,038
QQ5840,Primary (Baseline),Excl,VEasy,NonMatch,QQ5840,QQ,3,3,3,B,B,B:B,G,G,GG,20190618A_3,,,"Diff Caliber, JHP-FMJ",038,9ML
QQ5851,Primary (2nd assignments),ID,Norm,Match,QQ5851,QQ,3,4,4,B,A,A:B,G,P,PG,20190618G_4,50.0,68.0,"Same Model, Diff Sess, JHP-FMJ",9ML,9ML
QQ5851,Primary (Baseline),ID,Norm,Match,QQ5851,QQ,3,4,4,B,A,A:B,G,P,PG,20190618G_4,50.0,68.0,"Same Model, Diff Sess, JHP-FMJ",9ML,9ML
QQ5988,Primary (Baseline),ID,Norm,Match,QQ5988,QQ,3,3,3,B,B,B:B,G,P,PG,20190618J_4,0.0,8.0,"Same Model, Same SubSess, FMJ",9ML,9ML
QQ6058,Primary (Baseline),Insuff,Diff,Inconclusive,QQ6058,QQ,3,3,3,B,B,B:B,G,G,GG,20190415P_3,,,"Same Model, Diff Sess, FMJ",038,038
QQ6170,Primary (Baseline),Insuff,Norm,Inconclusive,QQ6170,QQ,3,4,4,A,B,A:B,P,G,PG,20190507F_4,,,"Same Model, Diff Sess, FMJ-JHP",040,040
QQ6305,Primary (Baseline),Insuff,Norm,Inconclusive,QQ6305,QQ,3,3,3,A,A,A:A,P,P,PP,20190415P_2,,,"Same Model, Diff Sess, FMJ",038,038
QQ6379,Primary (Baseline),Insuff,Norm,Inconclusive,QQ6379,QQ,2,2,2,A,A,A:A,P,P,PP,20190618S_2,,,"Diff Model, FMJ",9ML,9ML
QQ6429,Primary (Baseline),Insuff,Norm,Inconclusive,QQ6429,QQ,3,3,3,A,B,A:B,P,G,PG,20190618P_3,,,"Same Model, Diff Sess, FMJ",9ML,9ML
QQ6570,Primary (Baseline),Insuff,Norm,Inconclusive,QQ6570,QQ,3,3,3,A,B,A:B,P,G,PG,20190415G_4,,,"Same Model, Diff Sess, FMJ",038,038
QQ6682,Primary (Baseline),Excl,Diff,NonMatch,QQ6682,QQ,4,4,4,B,B,B:B,G,G,GG,20190501D_4,,,"Diff Make, FMJ",038,038
QQ6687,Primary (Baseline),LeanExcl,Diff,NonMatch,QQ6687,QQ,4,4,4,A,B,A:B,P,G,PG,20190412R_4,,,"Diff Model, FMJ-JHP",038,038
QQ6764,Primary (Baseline),Insuff,Diff,Inconclusive,QQ6764,QQ,3,3,3,A,A,A:A,P,P,PP,20190507J_2,110.0,128.0,"Same Model, Diff Sess, FMJ",040,040
QQ6944,Primary (Baseline),Excl,Diff,NonMatch,QQ6944,QQ,4,4,4,A,A,A:A,P,P,PP,20190618L_1,,,"Same Model, Diff Sess, FMJ-JHP",9ML,9ML
QQ6972,Primary (Baseline),Insuff,Diff,Inconclusive,QQ6972,QQ,3,3,4,B,B,B:B,G,G,GG,20190415F_1,,,"Same Model, Diff Sess, FMJ-JHP",038,038
QQ7097,Primary (Baseline),Excl,VEasy,NonMatch,QQ7097,QQ,4,4,4,A,B,A:B,P,G,PG,20190621P_1,,,"Diff Model, FMJ",9ML,9ML
QQ7141,Primary (Baseline),LeanExcl,Norm,NonMatch,QQ7141,QQ,3,3,4,A,A,A:A,P,P,PP,20190501D_4,,,"Same Model, Diff Sess, FMJ",038,038
QQ7200,Primary (Baseline),Excl,Norm,NonMatch,QQ7200,QQ,3,3,3,A,A,A:A,P,P,PP,20190412U_4,,,"Diff Make, FMJ-JHP",038,038
QQ7225,Primary (2nd assignments),Excl,VEasy,NonMatch,QQ7225,QQ,3,4,4,A,B,A:B,P,G,PG,20190412C_0,,,"Diff Caliber, JHP",9ML,038
QQ7225,Primary (Baseline),Excl,VEasy,NonMatch,QQ7225,QQ,3,4,4,A,B,A:B,P,G,PG,20190412C_0,,,"Diff Caliber, JHP",9ML,038
QQ7363,Primary (Baseline),ID,Norm,Match,QQ7363,QQ,3,3,3,A,B,A:B,P,G,PG,20190415M_4,0.0,8.0,"Same Model, Same SubSess, FMJ",038,038
QQ7499,Primary (Baseline),ID,Easy,Match,QQ7499,QQ,3,3,3,A,A,A:A,P,P,PP,20190404C_1,20.0,38.0,"Same Model, Diff Sess, JHP",9ML,9ML
QQ7525,Primary (Baseline),ID,Norm,Match,QQ7525,QQ,3,3,3,B,B,B:B,G,G,GG,20190415E_3,30.0,48.0,"Same Model, Diff Sess, JHP",038,038
QQ7622,Primary (Baseline),Excl,VEasy,NonMatch,QQ7622,QQ,3,3,3,A,A,A:A,P,P,PP,20190618R_2,,,"Diff Caliber, JHP",038,9ML
QQ7781,Primary (Baseline),Excl,VEasy,NonMatch,QQ7781,QQ,3,3,3,A,B,A:B,P,G,PG,20190320D_4,,,"Diff Make, JHP-FMJ",9ML,9ML
QQ7938,Primary (Baseline),ID,Easy,Match,QQ7938,QQ,3,3,3,A,B,A:B,P,G,PG,20190501K_1,30.0,48.0,"Same Model, Diff Sess, FMJ",040,040
QQ7995,Primary (Baseline),ID,Norm,Match,QQ7995,QQ,3,3,3,C,B,B:C,G,G,GG,20190415H_3,0.0,8.0,"Same Model, Same SubSess, FMJ",038,038
QQ8150,Primary (Baseline),LeanExcl,Diff,NonMatch,QQ8150,QQ,3,3,3,A,B,A:B,P,P,PP,20190621Q_1,,,"Same Model, Diff Sess, JHP",9ML,9ML
QQ8182,Primary (Baseline),Insuff,Diff,Inconclusive,QQ8182,QQ,3,3,3,B,B,B:B,G,G,GG,20190412B_4,,,"Diff Model, JHP-FMJ",038,038
QQ8186,Primary (Baseline),LeanID,Diff,Match,QQ8186,QQ,3,3,3,B,A,A:B,G,G,GG,20190415O_0,40.0,58.0,"Same Model, Diff Sess, FMJ-JHP",038,038
QQ8343,Primary (Baseline),Insuff,Diff,Inconclusive,QQ8343,QQ,3,3,3,B,B,B:B,G,G,GG,20190507F_3,,,"Same Model, Diff Sess, JHP",040,040
QQ8576,Primary (Baseline),Insuff,Norm,Inconclusive,QQ8576,QQ,3,3,3,A,B,A:B,P,G,PG,20190507A_2,,,"Same Model, Diff Sess, FMJ",040,040
QQ8745,Primary (Baseline),Excl,Easy,NonMatch,QQ8745,QQ,3,3,3,A,B,A:B,P,G,PG,20190501M_2,,,"Diff Make, FMJ",040,040
QQ8763,Primary (Baseline),ID,Easy,Match,QQ8763,QQ,3,3,3,A,A,A:A,P,P,PP,20190320A_3,0.0,8.0,"Same Model, Same SubSess, FMJ",9ML,9ML
QQ8781,Primary (Baseline),Insuff,Diff,Inconclusive,QQ8781,QQ,4,4,4,B,B,B:B,G,G,GG,20190507J_2,,,"Same Model, Diff Sess, FMJ",040,040
QQ8805,Primary (Baseline),Excl,Norm,NonMatch,QQ8805,QQ,3,3,4,C,A,A:C,G,P,PG,20190415D_0,130.0,148.0,"Same Model, Diff Sess, JHP-FMJ",038,038
QQ5005,Primary (Baseline),Insuff,Diff,Inconclusive,QQ5005,QQ,3,3,3,A,A,A:A,P,P,PP,20190501P_3,,,"Same Model, Diff Sess, FMJ",040,040
QQ5063,Primary (Baseline),Insuff,Diff,Inconclusive,QQ5063,QQ,3,3,3,C,B,B:C,G,G,GG,20190501R_1,,,"Same Model, Diff Sess, FMJ-JHP",040,040
QQ5140,Primary (Baseline),Excl,VEasy,NonMatch,QQ5140,QQ,3,3,3,A,A,A:A,P,P,PP,20190621X_4,,,"Diff Model, JHP",9ML,9ML
QQ5236,Primary (Baseline),Insuff,Diff,Inconclusive,QQ5236,QQ,3,3,3,C,C,C:C,G,G,GG,20190621V_3,0.0,8.0,"Same Model, Same SubSess, FMJ",9ML,9ML
QQ5327,Primary (Baseline),LeanID,Diff,Match,QQ5327,QQ,3,3,3,A,B,A:B,P,G,PG,20190415N_4,0.0,8.0,"Same Model, Same SubSess, FMJ",038,038
QQ5702,Primary (Baseline),LeanID,Diff,Match,QQ5702,QQ,3,3,3,B,B,B:B,G,G,GG,20190412H_3,20.0,38.0,"Same Model, Diff Sess, JHP-FMJ",038,038
QQ5780,Primary (Baseline),Insuff,Diff,Inconclusive,QQ5780,QQ,3,3,3,B,B,B:B,G,G,GG,20190501H_3,50.0,68.0,"Same Model, Diff Sess, JHP",038,038
QQ5830,Primary (Baseline),LeanExcl,Diff,NonMatch,QQ5830,QQ,3,3,3,B,A,A:B,G,P,PG,20190415N_4,,,"Diff Make, FMJ",038,038
QQ5855,Primary (Baseline),Insuff,Diff,Inconclusive,QQ5855,QQ,3,3,3,B,B,B:B,G,G,GG,20190508H_0,,,"Same Model, Diff Sess, JHP",9ML,9ML
QQ6025,Primary (Baseline),Insuff,Diff,Inconclusive,QQ6025,QQ,3,3,3,B,B,B:B,G,G,GG,20190412L_3,,,"Diff Model, FMJ-JHP",038,038
QQ6059,Primary (Baseline),LeanID,Norm,Match,QQ6059,QQ,3,3,3,A,B,A:B,P,G,PG,20190507J_0,,,"Same Model, Diff Sess, FMJ",040,040
QQ6224,Primary (Baseline),Insuff,Diff,Inconclusive,QQ6224,QQ,3,3,3,A,A,A:A,P,P,PP,20190507D_4,,,"Same Model, Diff Sess, FMJ",040,040
QQ6285,Primary (Baseline),Excl,VEasy,NonMatch,QQ6285,QQ,3,3,3,A,A,A:A,P,P,PP,20190507L_2,,,"Diff Caliber, FMJ",038,040
QQ6407,Primary (Baseline),Insuff,Diff,Inconclusive,QQ6407,QQ,3,3,3,A,A,A:A,P,P,PP,20190412G_4,90.0,108.0,"Same Model, Diff Sess, JHP-FMJ",038,038
QQ6682,Primary (Baseline),LeanExcl,Norm,NonMatch,QQ6682,QQ,4,4,4,B,B,B:B,G,G,GG,20190501D_4,,,"Diff Make, FMJ",038,038
QQ6687,Primary (Baseline),Insuff,Norm,Inconclusive,QQ6687,QQ,4,4,4,A,B,A:B,P,G,PG,20190412R_4,,,"Diff Model, FMJ-JHP",038,038
QQ6778,Primary (Baseline),Insuff,VDiff,Inconclusive,QQ6778,QQ,3,3,3,A,A,A:A,P,P,PP,20190618P_3,,,"Same Model, Diff Sess, FMJ",9ML,9ML
QQ6944,Primary (Baseline),LeanExcl,Norm,NonMatch,QQ6944,QQ,4,4,4,A,A,A:A,P,P,PP,20190618L_1,,,"Same Model, Diff Sess, FMJ-JHP",9ML,9ML
QQ7097,Primary (Baseline),Excl,Easy,NonMatch,QQ7097,QQ,4,4,4,A,B,A:B,P,G,PG,20190621P_1,,,"Diff Model, FMJ",9ML,9ML
QQ7128,Primary (Baseline),Insuff,Diff,Inconclusive,QQ7128,QQ,3,3,3,B,A,A:B,G,P,PG,20190507G_3,80.0,98.0,"Same Model, Diff Sess, JHP-FMJ",040,040
QQ7199,Primary (Baseline),Excl,VEasy,NonMatch,QQ7199,QQ,3,3,3,A,B,A:B,P,G,PG,20190507O_4,,,"Diff Make, FMJ-JHP",9ML,9ML
QQ7323,Primary (Baseline),Excl,Easy,NonMatch,QQ7323,QQ,3,3,3,A,A,A:A,P,P,PP,20190117C_1,,,"Diff Make, JHP-FMJ",9ML,9ML
QQ7384,Primary (Baseline),Insuff,Norm,Inconclusive,QQ7384,QQ,3,3,3,A,B,A:B,P,G,PG,20190416I_1,,,"Same Model, Diff Sess, JHP",038,038
QQ7699,Primary (Baseline),ID,Easy,Match,QQ7699,QQ,3,3,3,A,A,A:A,P,P,PP,20190222C_2,0.0,8.0,"Same Model, Same SubSess, FMJ",9ML,9ML
QQ7731,Primary (Baseline),Insuff,Diff,Inconclusive,QQ7731,QQ,3,3,3,C,C,C:C,G,G,GG,20190412S_2,,,"Same Model, Diff Sess, FMJ",038,038
QQ8032,Primary (Baseline),ID,Norm,Match,QQ8032,QQ,3,3,3,A,B,A:B,P,G,PG,20190415I_0,0.0,8.0,"Same Model, Same SubSess, JHP",038,038
QQ8055,Primary (Baseline),LeanID,Diff,Match,QQ8055,QQ,3,3,3,B,B,B:B,G,G,GG,20190416G_2,0.0,8.0,"Same Model, Same SubSess, FMJ",038,038
QQ8175,Primary (Baseline),Insuff,Diff,Inconclusive,QQ8175,QQ,3,3,3,A,B,A:B,P,G,PG,20190621J_2,,,"Same Model, Diff Sess, FMJ",9ML,9ML
QQ8289,Primary (Baseline),LeanID,Diff,Match,QQ8289,QQ,3,3,3,B,A,A:B,G,P,PG,20190507D_3,40.0,58.0,"Same Model, Diff Sess, FMJ",040,040
QQ8294,Primary (Baseline),ID,Norm,Match,QQ8294,QQ,3,3,3,A,A,A:A,P,P,PP,20190501O_3,60.0,78.0,"Same Model, Diff Sess, JHP",040,040
QQ8305,Primary (Baseline),Excl,VEasy,NonMatch,QQ8305,QQ,3,3,3,B,C,B:C,G,G,GG,20190404C_1,,,"Diff Caliber, JHP",038,9ML
QQ8321,Primary (Baseline),Insuff,Diff,Inconclusive,QQ8321,QQ,3,3,3,B,B,B:B,G,G,GG,20190416B_4,20.0,38.0,"Same Model, Diff Sess, JHP-FMJ",038,038
QQ8399,Primary (Baseline),ID,Norm,Match,QQ8399,QQ,3,3,3,A,A,A:A,P,P,PP,20190618M_2,50.0,68.0,"Same Model, Diff Sess, JHP-FMJ",9ML,9ML
QQ8670,Primary (Baseline),Insuff,Norm,Inconclusive,QQ8670,QQ,3,3,3,A,A,A:A,P,P,PP,20190501G_3,,,"Same Model, Diff Sess, FMJ",038,038
QQ8781,Primary (Baseline),Insuff,Diff,Inconclusive,QQ8781,QQ,4,4,4,B,B,B:B,G,G,GG,20190507J_2,,,"Same Model, Diff Sess, FMJ",040,040
QQ5003,Primary (Baseline),LeanID,Norm,Match,QQ5003,QQ,3,3,3,B,B,B:B,G,G,GG,20190618M_3,,,"Same Model, Diff Sess, FMJ",9ML,9ML
QQ5050,Primary (Baseline),Excl,Easy,NonMatch,QQ5050,QQ,1,1,1,A,A,A:A,P,P,PP,20190313A_4,,,"Diff Make, FMJ",9ML,9ML
